127.0.0.1 - - [27/Oct/2017:11:02:21 -0500] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [27/Oct/2017:11:02:23 -0500] "GET /Spring4MVCAngularJSExample/ HTTP/1.1" 200 6079
0:0:0:0:0:0:0:1 - - [27/Oct/2017:11:02:23 -0500] "GET /Spring4MVCAngularJSExample/static/js/controller/user_controller.js HTTP/1.1" 200 2447
0:0:0:0:0:0:0:1 - - [27/Oct/2017:11:02:23 -0500] "GET /Spring4MVCAngularJSExample/static/css/app.css HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [27/Oct/2017:11:02:23 -0500] "GET /Spring4MVCAngularJSExample/static/js/app.js HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [27/Oct/2017:11:02:23 -0500] "GET /Spring4MVCAngularJSExample/static/js/service/user_service.js HTTP/1.1" 200 2100
0:0:0:0:0:0:0:1 - - [27/Oct/2017:11:02:24 -0500] "GET /Spring4MVCAngularJSExample/user/ HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [27/Oct/2017:11:02:30 -0500] "POST /Spring4MVCAngularJSExample/user/ HTTP/1.1" 201 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:11:02:30 -0500] "GET /Spring4MVCAngularJSExample/user/ HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [27/Oct/2017:11:03:40 -0500] "POST /Spring4MVCAngularJSExample/user/ HTTP/1.1" 201 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:11:03:40 -0500] "GET /Spring4MVCAngularJSExample/user/ HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [27/Oct/2017:11:04:28 -0500] "POST /Spring4MVCAngularJSExample/user/ HTTP/1.1" 201 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:11:04:28 -0500] "GET /Spring4MVCAngularJSExample/user/ HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [27/Oct/2017:11:05:28 -0500] "GET /Spring4MVCAngularJSExample/ HTTP/1.1" 200 6079
0:0:0:0:0:0:0:1 - - [27/Oct/2017:11:05:29 -0500] "GET /Spring4MVCAngularJSExample/static/js/controller/user_controller.js HTTP/1.1" 200 2476
0:0:0:0:0:0:0:1 - - [27/Oct/2017:11:05:30 -0500] "GET /Spring4MVCAngularJSExample/user/ HTTP/1.1" 200 478
